name,county,lat,lon,population
Budapest,Budapest,47.4979,19.0402,1685000
Debrecen,Hajdú-Bihar,47.5316,21.6273,200000
Szeged,Csongrád-Csanád,46.2530,20.1414,160000
Miskolc,Borsod-Abaúj-Zemplén,48.1035,20.7784,150000
Pécs,Baranya,46.0727,18.2323,140000
Győr,Győr-Moson-Sopron,47.6875,17.6504,130000
Nyíregyháza,Szabolcs-Szatmár-Bereg,47.9554,21.7167,117000
Kecskemét,Bács-Kiskun,46.8964,19.6897,110000
Székesfehérvár,Fejér,47.1860,18.4221,96000
Szombathely,Vas,47.2307,16.6218,77000
Szolnok,Jász-Nagykun-Szolnok,47.1747,20.1765,70000
Érd,Pest,47.3778,18.9220,70000
Tatabánya,Komárom-Esztergom,47.5692,18.4048,65000
Sopron,Győr-Moson-Sopron,47.6817,16.5845,62000
Kaposvár,Somogy,46.3594,17.7968,60000
Békéscsaba,Békés,46.6736,21.0877,58000
Zalaegerszeg,Zala,46.8417,16.8416,57000
Veszprém,Veszprém,47.0930,17.9115,56000
Eger,Heves,47.9025,20.3772,52000
Nagykanizsa,Zala,46.4590,16.9897,46000
Dunakeszi,Pest,47.6364,19.1385,45000
Dunaújváros,Fejér,46.9619,18.9355,43000
Hódmezővásárhely,Csongrád-Csanád,46.4181,20.3300,43000
Szigetszentmiklós,Pest,47.3452,19.0447,40000
Cegléd,Pest,47.1726,19.7995,36000
Baja,Bács-Kiskun,46.1817,18.9543,35000
Mosonmagyaróvár,Győr-Moson-Sopron,47.8687,17.2688,35000
Vác,Pest,47.7753,19.1315,34000
Salgótarján,Nógrád,48.0935,19.7999,33000
Ózd,Borsod-Abaúj-Zemplén,48.2242,20.2910,32000
Gödöllő,Pest,47.5966,19.3550,32000
Szekszárd,Tolna,46.3474,18.7062,31000
Hajdúböszörmény,Hajdú-Bihar,47.6667,21.5167,30000
Pápa,Veszprém,47.3300,17.4686,30000
Gyöngyös,Heves,47.7817,19.9294,29000
Gyula,Békés,46.6473,21.2784,29000
Kiskunfélegyháza,Bács-Kiskun,46.7114,19.8478,29000
Budaörs,Pest,47.4621,18.9584,29000
Esztergom,Komárom-Esztergom,47.7856,18.7403,28000
Ajka,Veszprém,47.1030,17.5567,27000
Szentendre,Pest,47.6690,19.0759,27000
Szentes,Csongrád-Csanád,46.6520,20.2569,27000
Kiskunhalas,Bács-Kiskun,46.4319,19.4859,27000
Kazincbarcika,Borsod-Abaúj-Zemplén,48.2537,20.6290,26000
Orosháza,Békés,46.5667,20.6667,26000
Jászberény,Jász-Nagykun-Szolnok,47.4997,19.9088,25000
Siófok,Somogy,46.9047,18.0580,25000
Gyál,Pest,47.3833,19.2167,24000
Nagykőrös,Pest,47.0333,19.7833,24000
Tata,Komárom-Esztergom,47.6520,18.3187,24000
Hajdúszoboszló,Hajdú-Bihar,47.4436,21.3930,23000
Vecsés,Pest,47.4074,19.2865,22000
Komló,Baranya,46.1915,18.2646,22000
Makó,Csongrád-Csanád,46.2135,20.4796,22000
Várpalota,Veszprém,47.1986,18.1378,20000
Törökszentmiklós,Jász-Nagykun-Szolnok,47.1833,20.4167,20000
Fót,Pest,47.6167,19.1833,20000
Veresegyház,Pest,47.6500,19.2833,20000
